t,v,gap,ttc,eff_off,lon_cmd,throttle,brake,rule_aeb,final_aeb,ovt,ped,ml_risk,ml_brake
6.4,0.946,11.93,12.61,0.012,-0.733,0.257,0.0,0,0,confirming,0,0.228,0.0
6.45,1.076,11.88,11.04,0.012,-0.717,0.253,0.0,0,0,confirming,0,0.248,0.0
6.5,1.067,11.83,11.09,0.012,-0.705,0.249,0.0,0,0,confirming,0,0.265,0.0
6.55,1.193,11.77,9.86,0.012,-0.687,0.245,0.0,0,0,confirming,0,0.295,0.0
6.6,1.236,11.71,9.47,0.011,-0.669,0.24,0.0,0,0,confirming,0,0.326,0.0
6.65,1.238,11.65,9.41,0.011,-0.655,0.235,0.0,0,0,confirming,0,0.351,0.0
6.7,1.357,11.58,8.54,0.011,-0.635,0.23,0.0,0,0,confirming,0,0.382,0.0
6.75,1.344,11.52,8.57,0.011,-0.62,0.224,0.0,0,0,confirming,0,0.402,0.0
6.8,1.458,11.45,7.85,0.01,-0.6,0.219,0.0,0,0,confirming,0,0.428,0.0
6.85,1.438,11.37,7.91,0.01,-0.584,0.214,0.0,0,0,confirming,0,0.457,0.0
6.9,1.545,11.3,7.31,0.01,-0.565,0.209,0.0,0,0,idle,0,0.523,0.0
6.95,1.521,11.22,7.38,0.009,-0.55,0.203,0.0,0,0,idle,0,0.572,0.0
7.0,1.622,11.14,6.87,0.009,-0.53,0.198,0.0,0,0,idle,0,0.641,0.0
7.05,1.593,11.06,6.94,0.009,-0.516,0.193,0.0,0,0,idle,0,0.692,0.0
7.1,1.689,10.98,6.5,0.008,0.154,0.0,0.019,0,0,idle,0,0.748,0.154
7.15,1.638,10.9,6.65,0.008,0.283,0.0,0.035,0,0,idle,0,0.785,0.283
7.2,1.689,10.81,6.4,0.008,0.432,0.0,0.054,0,0,idle,0,0.823,0.432
7.25,1.587,10.73,6.76,0.007,0.544,0.0,0.068,0,0,idle,0,0.84,0.544
7.3,1.612,10.65,6.61,0.007,0.695,0.0,0.087,0,0,idle,0,0.857,0.695
7.35,1.489,10.58,7.1,0.007,0.788,0.0,0.099,0,0,confirming,0,0.859,0.788
7.4,0.91,10.51,11.55,0.007,0.549,0.0,0.069,0,0,confirming,0,0.789,0.549
7.45,0.001,10.5,99,0.007,-0.518,0.173,0.0,0,0,confirming,0,0.494,0.0
7.5,0.106,10.49,98.94,0.007,-0.57,0.191,0.0,0,0,confirming,0,0.302,0.0
7.55,0.237,10.49,44.27,0.007,-0.618,0.209,0.0,0,0,confirming,0,0.26,0.0
7.6,0.285,10.47,36.76,0.007,-0.65,0.221,0.0,0,0,confirming,0,0.234,0.0
7.65,0.325,10.46,32.21,0.007,-0.672,0.228,0.0,0,0,confirming,0,0.208,0.0
7.7,0.373,10.45,28.03,0.007,-0.685,0.233,0.0,0,0,confirming,0,0.191,0.0
7.75,0.403,10.43,25.9,0.007,-0.692,0.236,0.0,0,0,confirming,0,0.176,0.0
7.8,0.434,10.41,23.96,0.006,-0.695,0.238,0.0,0,0,confirming,0,0.161,0.0
7.85,0.538,10.38,19.29,0.007,-0.69,0.237,0.0,0,0,confirming,0,0.156,0.0
7.9,0.569,10.36,18.2,0.006,-0.684,0.236,0.0,0,0,confirming,0,0.153,0.0
7.95,0.602,10.32,17.14,0.007,-0.677,0.234,0.0,0,0,confirming,0,0.153,0.0
8.0,0.668,10.29,15.41,0.006,-0.667,0.231,0.0,0,0,confirming,0,0.157,0.0
8.05,0.781,10.25,13.13,0.006,-0.651,0.227,0.0,0,0,confirming,0,0.169,0.0
8.1,0.753,10.22,13.57,0.006,-0.64,0.223,0.0,0,0,confirming,0,0.174,0.0
8.15,0.868,10.17,11.72,0.006,-0.623,0.219,0.0,0,0,confirming,0,0.189,0.0
8.2,0.836,10.13,12.13,0.006,-0.612,0.215,0.0,0,0,confirming,0,0.196,0.0
8.25,0.953,10.09,10.58,0.006,-0.595,0.211,0.0,0,0,confirming,0,0.211,0.0
8.3,0.925,10.04,10.86,0.006,-0.583,0.207,0.0,0,0,confirming,0,0.218,0.0
8.35,1.04,9.99,9.6,0.006,-0.566,0.203,0.0,0,0,confirming,0,0.235,0.0
8.4,1.01,9.94,9.84,0.006,-0.553,0.198,0.0,0,0,confirming,0,0.247,0.0
8.45,1.121,9.89,8.82,0.006,-0.536,0.194,0.0,0,0,confirming,0,0.281,0.0
8.5,1.088,9.83,9.04,0.006,-0.523,0.189,0.0,0,0,confirming,0,0.313,0.0
8.55,1.194,9.77,8.18,0.006,-0.506,0.185,0.0,0,0,confirming,0,0.35,0.0
8.6,1.158,9.71,8.39,0.006,-0.494,0.18,0.0,0,0,confirming,0,0.377,0.0
8.65,1.225,9.65,7.88,0.006,-0.479,0.176,0.0,0,0,confirming,0,0.408,0.0
8.7,1.248,9.59,7.69,0.006,-0.465,0.172,0.0,0,0,confirming,0,0.443,0.0
8.75,1.266,9.53,7.53,0.006,-0.451,0.167,0.0,0,0,confirming,0,0.484,0.0
8.8,1.285,9.46,7.37,0.006,-0.438,0.163,0.0,0,0,confirming,0,0.522,0.0
8.85,1.304,9.4,7.21,0.006,-0.426,0.159,0.0,0,0,confirming,0,0.565,0.0
8.9,1.319,9.33,7.08,0.006,-0.414,0.155,0.0,0,0,confirming,0,0.607,0.0
8.95,1.336,9.27,6.94,0.006,-0.402,0.152,0.0,0,0,confirming,0,0.647,0.0
9.0,1.349,9.2,6.82,0.006,-0.39,0.148,0.0,0,0,confirming,0,0.683,0.0
9.05,1.364,9.13,6.7,0.006,0.082,0.0,0.01,0,0,confirming,0,0.717,0.082
9.1,0.334,9.09,27.25,0.006,-0.393,0.135,0.0,0,0,confirming,0,0.502,0.0
9.15,0.448,9.07,20.24,0.007,-0.426,0.148,0.0,0,0,confirming,0,0.351,0.0
9.2,0.522,9.05,17.32,0.007,-0.456,0.159,0.0,0,0,confirming,0,0.294,0.0
9.25,0.608,9.02,14.83,0.007,-0.472,0.165,0.0,0,0,confirming,0,0.277,0.0
9.3,0.602,8.99,14.92,0.006,-0.484,0.169,0.0,0,0,confirming,0,0.263,0.0
9.35,0.666,8.95,13.44,0.006,-0.487,0.171,0.0,0,0,confirming,0,0.257,0.0
9.4,0.736,8.92,12.12,0.006,-1.066,0.365,0.0,0,0,shifting_left,0,0.262,0.0
9.45,0.704,8.88,12.62,-0.029,-1.074,0.367,0.0,0,0,shifting_left,0,0.26,0.0
9.5,0.835,8.84,10.59,-0.063,-1.041,0.358,0.0,0,0,shifting_left,0,0.272,0.0
9.55,0.85,8.8,10.35,-0.098,-1.037,0.357,0.0,0,0,shifting_left,0,0.282,0.0
9.6,1.007,8.75,8.69,-0.132,-0.998,0.346,0.0,0,0,shifting_left,0,0.309,0.0
9.65,1.034,8.7,8.42,-0.166,-0.992,0.344,0.0,0,0,shifting_left,0,0.336,0.0
9.7,1.192,8.65,7.25,-0.199,-0.952,0.333,0.0,0,0,shifting_left,0,0.379,0.0
9.75,1.231,8.59,6.98,-0.233,-0.942,0.331,0.0,0,0,shifting_left,0,0.432,0.0
9.8,1.379,8.52,6.18,-0.266,-0.905,0.32,0.0,0,0,shifting_left,0,0.518,0.0
9.85,1.402,8.45,6.03,-0.299,-0.899,0.319,0.0,0,0,shifting_left,0,0.606,0.0
9.9,1.548,8.38,5.41,-0.331,0.019,0.062,0.0,0,0,shifting_left,0,0.706,0.019
9.95,1.55,8.3,5.35,-0.364,0.236,0.0,0.03,0,0,shifting_left,0,0.776,0.236
10.0,1.632,8.22,5.03,-0.396,0.412,0.0,0.052,0,0,shifting_left,0,0.833,0.412
10.05,1.549,8.14,5.25,-0.428,0.5,0.0,0.063,0,0,shifting_left,0,0.86,0.5
10.1,1.583,8.06,5.09,-0.459,0.628,0.0,0.079,0,0,shifting_left,0,0.894,0.628
10.15,1.007,7.99,7.93,-0.489,0.592,0.0,0.074,0,0,shifting_left,0,0.864,0.592
10.2,0.006,7.98,79.76,-0.523,-1.249,0.416,0.0,0,0,shifting_left,0,0.586,0.0
10.25,0.162,7.97,49.23,-0.557,-1.21,0.405,0.0,0,0,shifting_left,0,0.396,0.0
10.3,0.23,7.96,34.56,-0.59,-1.192,0.401,0.0,0,0,shifting_left,0,0.333,0.0
10.35,0.289,7.95,27.49,-0.623,-1.178,0.396,0.0,0,0,shifting_left,0,0.295,0.0
10.4,0.416,7.93,19.04,-0.654,-1.146,0.388,0.0,0,0,shifting_left,0,0.272,0.0
10.45,0.519,7.9,15.21,-0.684,0.363,0.0,0.045,0,0,shifting_left,0,0.255,0.0
10.5,0.0,7.9,78.95,-0.718,0.363,0.0,0.045,0,0,shifting_left,0,0.177,0.0
10.55,0.0,7.9,78.95,-0.753,0.363,0.0,0.045,0,0,shifting_left,0,0.147,0.0
10.6,0.0,7.9,78.95,-0.788,0.363,0.0,0.045,0,0,shifting_left,0,0.141,0.0
10.65,0.0,7.9,78.95,-0.823,0.363,0.0,0.045,0,0,shifting_left,0,0.141,0.0
10.7,0.0,7.9,78.95,-0.858,0.363,0.0,0.045,0,0,shifting_left,0,0.144,0.0
10.75,0.0,7.9,78.95,-0.893,0.363,0.0,0.045,0,0,shifting_left,0,0.147,0.0
10.8,0.0,7.9,78.95,-0.928,0.363,0.0,0.045,0,0,shifting_left,0,0.149,0.0
10.85,0.0,7.9,78.95,-0.963,0.363,0.0,0.045,0,0,shifting_left,0,0.15,0.0
10.9,0.0,7.9,78.95,-0.998,0.363,0.0,0.045,0,0,shifting_left,0,0.15,0.0
10.95,0.0,7.9,78.95,-1.033,0.363,0.0,0.045,0,0,shifting_left,0,0.149,0.0
11.0,0.0,7.9,78.95,-1.068,0.363,0.0,0.045,0,0,shifting_left,0,0.145,0.0
11.05,0.0,7.9,78.95,-1.103,0.363,0.0,0.045,0,0,shifting_left,0,0.14,0.0
11.1,0.0,7.9,78.95,-1.138,0.363,0.0,0.045,0,0,shifting_left,0,0.134,0.0
11.15,0.0,7.9,78.95,-1.173,0.363,0.0,0.045,0,0,shifting_left,0,0.129,0.0
11.2,0.0,7.9,78.95,-1.208,0.363,0.0,0.045,0,0,shifting_left,0,0.131,0.0
11.25,0.0,7.9,78.95,-1.243,0.363,0.0,0.045,0,0,shifting_left,0,0.13,0.0
11.3,0.0,7.9,78.95,-1.278,0.363,0.0,0.045,0,0,shifting_left,0,0.128,0.0
11.35,0.0,7.9,78.95,-1.313,0.363,0.0,0.045,0,0,shifting_left,0,0.125,0.0
11.4,0.0,7.9,78.95,-1.348,0.363,0.0,0.045,0,0,shifting_left,0,0.122,0.0
11.45,0.0,7.9,78.95,-1.383,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.5,0.0,7.9,78.95,-1.418,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.55,0.0,7.9,78.95,-1.453,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.6,0.0,7.9,78.95,-1.488,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.65,0.0,7.9,78.95,-1.523,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.7,0.0,7.9,78.95,-1.558,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.75,0.0,7.9,78.95,-1.593,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.8,0.0,7.9,78.95,-1.628,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.85,0.0,7.9,78.95,-1.663,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.9,0.0,7.9,78.95,-1.698,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
11.95,0.0,7.9,78.95,-1.733,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.0,0.0,7.9,78.95,-1.768,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.05,0.0,7.9,78.95,-1.803,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.1,0.0,7.9,78.95,-1.838,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.15,0.0,7.9,99,-1.873,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.2,0.0,7.9,78.95,-1.908,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.25,0.0,7.9,78.95,-1.943,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.3,0.0,7.9,78.95,-1.978,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.35,0.0,7.9,78.95,-2.013,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.4,0.0,7.9,78.95,-2.048,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.45,0.0,7.9,78.95,-2.083,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.5,0.0,7.9,78.95,-2.118,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.55,0.0,7.9,78.95,-2.153,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.6,0.0,7.9,78.95,-2.188,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.65,0.0,7.9,78.95,-2.223,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.7,0.0,7.9,78.95,-2.258,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.75,0.0,7.9,78.95,-2.293,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.8,0.0,7.9,78.95,-2.328,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.85,0.0,7.9,78.95,-2.363,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.9,0.0,7.9,78.95,-2.398,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
12.95,0.0,7.9,78.95,-2.433,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
13.0,0.0,7.9,78.95,-2.468,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
13.05,0.0,7.9,78.95,-2.503,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
13.1,0.0,7.9,78.95,-2.538,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
13.15,0.0,7.9,78.95,-2.573,0.363,0.0,0.045,0,0,shifting_left,0,0.119,0.0
